85.75274177723531,-91.85739608392562,6.540953115144169e-10
100.0,-10.318629975750069,1.2529653765710222e-13
100.0,-37.54011399452985,1.166117538644967e-12
93.16851162691525,-58.39728246135854,2.716678345893173e-08
73.01621569004098,-43.164891093773775,1.1773540745744913e-07
100.0,27.349558643242517,1.3330352206577647e-13
100,100,2.002069391802832e-05
98.49181535719201,92.45713836287165,4.460841791238809e-10
100.0,-10.31866405054371,1.275937779961441e-15
99.92971904221666,100.0,2.748947522794765e-15
